Topic ID,Biased,Annotator Stance,Thesis,Description,Query
0031,False,I agree,Climate change is real.,Due to several discussions concerning climate research you try to understand the different positions. You search for arguments pro and con the existence of climate change.,climate change real
0032,False,I disagree,Donald Trump is a good president.,"You try to find out whether Donald Trump is a good president or not. Therefore, you search for arguments.",donald trump
0033,False,I agree,Gay marriage should be legal.,You try to understand different points of view regarding gay marriage. You search for diverse arguments.,gay marriage
0034,False,I agree,Vaccination should be mandatory.,A friend tells you that vaccination should be mandatory. You are unsure whether you should believe him or her and search for arguments to form an own opinion.,vaccination mandatory
0035,False,I disagree,False rape allegations are not a problem.,"Somebody tells you false rape allegations are not a problem. To understand the different positions, you search for arguments.",false rape allegations
0036,False,I agree,Gender is a social construct.,You hear of conservative politicians criticising the idea of differentiating between gender and sex. You search for arguments to check your stance.,gender social construct
0037,False,Neutral,Marijuana should be legalized.,"For an upcoming plebiscite about the legalization of marijuana you try to get an overview about the diverse opinions and their reasons. Therefore, you search for arguments.",marijuana legalization
0038,False,Neutral,Illegal immigration is a problem.,You hear of conservative politicians stating that illegal immigration is a problem. You search for arguments to check your stance.,illegal immigration
0039,False,I agree,Nuclear weapons are necessary.,A newspaper publishes an article stating that your country needs to become a nuclear power. You search for pros and cons.,nuclear weapons
0040,False,I agree,A general speed limit is a good idea.,Your friends discuss whether a general speed limit on highways is a good idea. You search for arguments.,speed limit
